а	a
царює	ts a rj u j e
царюєте	ts a rj u j e t e
царя	ts a rj a
царям	ts a rj a m
царями	ts a rj a m y
царях	ts a rj a x
царі	ts a rj i
царів	ts a rj i w
цафон	ts a f o n
цаіру	ts a i r u
цвяхами	tsj wj a x a m y
цвяхи	tsj wj a x y
цвяхів	tsj wj a xj i w
цвів	tsj wj i w
цвірінькають	tsj wj i rj i nj k a j u tj
цвісти	tsj wj i s t y
цвіт	tsj wj i t
цвіте	tsj wj i t e
цвітуть	tsj wj i t u tj
цвіті	tsj wj i tj i
це	ts e
цебто	ts e b t o
цевоїм	ts e w o j i m
цевоїму	ts e w o j i m u
цегельняної	ts e h e lj nj a n o j i
цегла	ts e h l a
цеглах	ts e h l a x
цегли	ts e h l y
цеглину	ts e h l y n u
цеглу	ts e h l u
цегляному	ts e h lj a n o m u
цедаду	ts e d a d u
цедек	ts e d e k
цей	ts e j
цела	ts e l a
целек	ts e l e k
целофхад	ts e l o f x a d
целофхада	ts e l o f x a d a
целофхадових	ts e l o f x a d o w y x
целофхадові	ts e l o f x a d o wj i
целцаху	ts e l ts a x u
целі	ts e lj i
цема	ts e m a
цемараїм	ts e m a r a j i m
цемареянина	ts e m a r e a n y n a
цемарянина	ts e m a rj a n y n a
ценан	ts e n a n
цер	ts e r
цереди	ts e r e d y
цередою	ts e r e d o j u
церери	ts e r e r y
церет	ts e r e t
церква	ts e r k w a
церквам	ts e r k w a m
церквами	ts e r k w a m y
церквах	ts e r k w a x
церкви	ts e r k w y
церквою	ts e r k w o j u
церкву	ts e r k w u
церкві	ts e r k wj i
церков	ts e r k o w
церковного	ts e r k o w n o h o
церорового	ts e r o r o w o h o
церуа	ts e r u a
церуя	ts e r u j a
церуєвого	ts e r u j e w o h o
церуї	ts e r u j i
церуїн	ts e r u j i n
церуїного	ts e r u j i n o h o
церуїні	ts e r u j i nj i
цері	ts e rj i
цефанію	ts e f a nj i j u
цефанія	ts e f a nj i j a
цефанієвого	ts e f a nj i j e w o h o
цефанії	ts e f a nj i j i
цефат	ts e f a t
цефату	ts e f a t u
цефо	ts e f o
цефона	ts e f o n a
цефоном	ts e f o n o m
цефонів	ts e f o nj i w
цефі	ts e fj i
цеє	ts e j e
цеї	ts e j i
цибулю	ts y b u lj u
цим	ts y m
цимбалами	ts y m b a l a m y
цимбалах	ts y m b a l a x
цимбали	ts y m b a l y
цими	ts y m y
цина	ts y n a
цинамоном	ts y n a m o n o m
цинамону	ts y n a m o n u
циною	ts y n o j u
цину	ts y n u
циркулем	ts y r k u l e m
цитр	ts y t r
цитра	ts y t r a
цитрами	ts y t r a m y
цитрах	ts y t r a x
цитро	ts y t r o
цитрі	ts y t rj i
цих	ts y x
цоан	ts o a n
цоаном	ts o a n o m
цоанському	ts o a nj sj k o m u
цоанськім	ts o a nj sj kj i m
цоану	ts o a n u
цоані	ts o a nj i
цоар	ts o a r
цоару	ts o a r u
цоарі	ts o a rj i
цова	ts o w a
цови	ts o w y
цовського	ts o w sj k o h o
цовському	ts o w sj k o m u
цокоту	ts o k o t u
цокіт	ts o kj i t
цор	ts o r
цортану	ts o r t a n u
цору	ts o r u
цорфату	ts o r f a t u
цоряни	ts o rj a n y
цофай	ts o f a j
цофар	ts o f a r
цофах	ts o f a x
цофахові	ts o f a x o wj i
цофнат	ts o f n a t
цофім	ts o fj i m
цофіму	ts o fj i m u
цохар	ts o x a r
цохара	ts o x a r a
цохарового	ts o x a r o w o h o
цуарового	ts u a r o w o h o
цуарів	ts u a rj i w
цувва	ts u w w a
цувви	ts u w w y
цуввин	ts u w w y n
цур	ts u r
цура	ts u r a
цурайсь	ts u r a j sj
цурайся	ts u r a j sj a
цуралися	ts u r a l y sj a
цурається	ts u r a j e tsj tsj a
цуру	ts u r u
цурішаддаєвого	ts u rj i sh a d d a j e w o h o
цурішаддаїв	ts u rj i sh a d d a j i w
цуріїл	ts u rj i j i l
цуф	ts u e f
цуфа	ts u f a
цього	tsj o h o
цьогосвітня	tsj o h o sj wj i tj nj a
цьогосвітнє	tsj o h o sj wj i tj nj e
цьогосвітні	tsj o h o sj wj i tj nj i
цьогосвітнім	tsj o h o sj wj i tj nj i m
цьогосвітніми	tsj o h o sj wj i tj nj i m y
цьому	tsj o m u
цю	tsj u
ця	tsj a
цяя	tsj a a
ці	tsj i
ців	tsj i w
ціва	tsj i w a
ціви	tsj i w y
цівію	tsj i wj i j u
цівія	tsj i wj i j a
ціддім	tsj i dj dj i m
цідкійя	tsj i d kj i j a
цій	tsj i j
цікаві	tsj i k a wj i
ціклаґ	tsj i k l a
ціклаґу	tsj i k l a u
ціла	tsj i l a
ціле	tsj i l e
цілей	tsj i l e j
цілий	tsj i l y j
цілим	tsj i l y m
цілими	tsj i l y m y
цілині	tsj i l y nj i
цілих	tsj i l y x
цілковито	tsj i l k o w y t o
цілком	tsj i l k o m
цілла	tsj i l l a
ціллетай	tsj i l l e t a j
цілло	tsj i l l o
ціллю	tsj i lj lj u
цілого	tsj i l o h o
цілоденному	tsj i l o d e n n o m u
цілому	tsj i l o m u
цілопалення	tsj i l o p a l e nj nj a
цілопаленням	tsj i l o p a l e nj nj a m
цілопаленнями	tsj i l o p a l e nj nj a m y
цілопаленнях	tsj i l o p a l e nj nj a x
цілопаленні	tsj i l o p a l e nj nj i
цілопалень	tsj i l o p a l e nj
цілості	tsj i l o sj tj i
цілою	tsj i l o j u
цілої	tsj i l o j i
цілу	tsj i l u
цілував	tsj i l u w a w
цілувала	tsj i l u w a l a
цілували	tsj i l u w a l y
цілувати	tsj i l u w a t y
цілунки	tsj i l u n k y
цілують	tsj i l u j u tj
цілує	tsj i l u j e
ціль	tsj i lj
цілі	tsj i lj i
цілій	tsj i lj i j
цім	tsj i m
цін	tsj i n
ціна	tsj i n a
ціни	tsj i n y
цінне	tsj i n n e
цінний	tsj i n n y j
цінним	tsj i n n y m
цінного	tsj i n n o h o
цінну	tsj i n n u
цінні	tsj i nj nj i
ціновано	tsj i n o w a n o
ціною	tsj i n o j u
ціну	tsj i n u
цінували	tsj i n u w a l y
ціор	tsj i o r
ціпами	tsj i p a m y
ціппора	tsj i p p o r a
ціппорового	tsj i p p o r o w o h o
ціппору	tsj i p p o r u
ціппорів	tsj i p p o rj i w
ціфйон	tsj i f j o n
ціха	tsj i x a
ціхині	tsj i x y nj i
ціхіних	tsj i xj i n y x
ціцу	tsj i ts u
цією	tsj i j e j u
цієї	tsj i j e j i
чавив	tsh a w y w
чавила	tsh a w y l a
чавилах	tsh a w y l a x
чавило	tsh a w y l o
чавильник	tsh a w y lj n y k
чавильники	tsh a w y lj n y k y
чавильні	tsh a w y lj nj i
чавилі	tsh a w y lj i
чавити	tsh a w y t y
чавить	tsh a w y tj
чаклунів	tsh a k l u nj i w
чалий	tsh a l y j
чаплі	tsh a p lj i
чар	tsh a r
чарами	tsh a r a m y
чарах	tsh a r a x
чари	tsh a r y
чарки	tsh a r k y
чародійних	tsh a r o dj i j n y x
чародійні	tsh a r o dj i j nj i
чародіїв	tsh a r o dj i j i w
чарував	tsh a r u w a w
чарували	tsh a r u w a l y
чарування	tsh a r u w a nj nj a
чарувати	tsh a r u w a t y
чарують	tsh a r u j u tj
чарів	tsh a rj i w
чарівник	tsh a rj i w n y k
чарівника	tsh a rj i w n y k a
чарівникам	tsh a rj i w n y k a m
чарівниках	tsh a rj i w n y k a x
чарівники	tsh a rj i w n y k y
чарівників	tsh a rj i w n y kj i w
чарівниці	tsh a rj i w n y tsj i
чарівничі	tsh a rj i w n y tshj i
час	tsh a s
часами	tsh a s a m y
часах	tsh a s a x
часи	tsh a s y
часинку	tsh a s y n k u
часник	tsh a s n y k
часово	tsh a s o w o
часового	tsh a s o w o h o
часові	tsh a s o wj i
часок	tsh a s o k
часом	tsh a s o m
часте	tsh a s t e
частим	tsh a s t y m
частин	tsh a s t y n
частина	tsh a s t y n a
частинами	tsh a s t y n a m y
частини	tsh a s t y n y
частинне	tsh a s t y n n e
частинно	tsh a s t y n n o
частину	tsh a s t y n u
частині	tsh a s t y nj i
частих	tsh a s t y x
частка	tsh a s t k a
частками	tsh a s t k a m y
частки	tsh a s t k y
частку	tsh a s t k u
часто	tsh a s t o
частці	tsh a sj tsj tsj i
частіш	tsh a sj tj i sh
часу	tsh a s u
часі	tsh a sj i
часів	tsh a sj i w
чатах	tsh a t a x
чати	tsh a t y
чатував	tsh a t u w a w
чатували	tsh a t u w a l y
чатування	tsh a t u w a nj nj a
чатувати	tsh a t u w a t y
чатуй	tsh a t u j
чатуймо	tsh a t u j m o
чатуйте	tsh a t u j t e
чатують	tsh a t u j u tj
чатуючим	tsh a t u j u tsh y m
чатує	tsh a t u j e
чатівника	tsh a tj i w n y k a
чатівників	tsh a tj i w n y kj i w
чаш	tsh a sh
чаша	tsh a sh a
чашами	tsh a sh a m y
чашник	tsh a sh n y k
чашника	tsh a sh n y k a
чашникові	tsh a sh n y k o wj i
чашником	tsh a sh n y k o m
чашників	tsh a sh n y kj i w
чашу	tsh a sh u
чаші	tsh a shj i
чвал	tsh w a l
чванились	tsh w a n y l y sj
чванилися	tsh w a n y l y sj a
чваниться	tsh w a n y tsj tsj a
чванишся	tsh w a n y sj sj a
чванливе	tsh w a n l y w e
чванливий	tsh w a n l y w y j
чванливих	tsh w a n l y w y x
чванливости	tsh w a n l y w o s t y
чванливі	tsh w a n l y wj i
чваньки	tsh w a nj k y
чванькуватого	tsh w a nj k u w a t o h o
чванькуваті	tsh w a nj k u w a tj i
чварів	tsh w a rj i w
чвертка	tsh w e r t k a
чверть	tsh w e r tj
чверті	tsh w e r tj i
чвіркам	tsh wj i r k a m
чекав	tsh e k a w
чекавши	tsh e k a w sh y
чекай	tsh e k a j
чекайте	tsh e k a j t e
чекала	tsh e k a l a
чекали	tsh e k a l y
чекало	tsh e k a l o
чекання	tsh e k a nj nj a
чекати	tsh e k a t y
чекаю	tsh e k a j u
чекають	tsh e k a j u tj
чекаючи	tsh e k a j u tsh y
чекає	tsh e k a j e
чекаємо	tsh e k a j e m o
чекаєте	tsh e k a j e t e
челюстів	tsh e lj u sj tj i w
челядниками	tsh e lj a d n y k a m y
черва	tsh e r w a
черве	tsh e r w e
червенню	tsh e r w e nj nj u
червень	tsh e r w e nj
червені	tsh e r w e nj i
черви	tsh e r w y
червона	tsh e r w o n a
червоне	tsh e r w o n e
червоний	tsh e r w o n y j
червонилом	tsh e r w o n y l o m
червоним	tsh e r w o n y m
червоних	tsh e r w o n y x
червоно	tsh e r w o n o
червоного	tsh e r w o n o h o
червоному	tsh e r w o n o m u
червоноогняний	tsh e r w o n o o h nj a n y j
червоною	tsh e r w o n o j u
червону	tsh e r w o n u
червонуватий	tsh e r w o n u w a t y j
червонява	tsh e r w o nj a w a
червонявою	tsh e r w o nj a w o j u
червоняві	tsh e r w o nj a wj i
червоні	tsh e r w o nj i
червоній	tsh e r w o nj i j
червоніє	tsh e r w o nj i j e
червою	tsh e r w o j u
черву	tsh e r w u
червяк	tsh e r w j a k
червяка	tsh e r w j a k a
червінку	tsh e r wj i n k u
черг	tsh e r h
черга	tsh e r h a
чергами	tsh e r h a m y
чергах	tsh e r h a x
черги	tsh e r h y
чергове	tsh e r h o w e
чергою	tsh e r h o j u
черева	tsh e r e w a
черевані	tsh e r e w a nj i
черевичках	tsh e r e w y tsh k a x
черево	tsh e r e w o
череву	tsh e r e w u
череві	tsh e r e wj i
череда	tsh e r e d a
череди	tsh e r e d y
чередників	tsh e r e d n y kj i w
чередою	tsh e r e d o j u
череду	tsh e r e d u
череді	tsh e r e dj i
через	tsh e r e z
череп	tsh e r e p e
черепа	tsh e r e p a
черепка	tsh e r e p k a
черепків	tsh e r e p kj i w
череповище	tsh e r e p o w y sh tsh e
череповищем	tsh e r e p o w y sh tsh e m
черепок	tsh e r e p o k
черепі	tsh e r e pj i
черес	tsh e r e s
черзі	tsh e r zj i
черпака	tsh e r p a k a
черпали	tsh e r p a l y
черпати	tsh e r p a t y
черпача	tsh e r p a tsh a
черствий	tsh e r s t w y j
чертоги	tsh e r t o h y
черід	tsh e rj i d
черідко	tsh e rj i d k o
черідна	tsh e rj i d n a
чесанім	tsh e s a nj i m
чесне	tsh e s n e
чесний	tsh e s n y j
чесним	tsh e s n y m
чесних	tsh e s n y x
чесно	tsh e s n o
чесному	tsh e s n o m u
чеснота	tsh e s n o t a
чесноти	tsh e s n o t y
чеснотна	tsh e s n o t n a
чеснотних	tsh e s n o t n y x
чеснотну	tsh e s n o t n u
чеснотою	tsh e s n o t o j u
чесноту	tsh e s n o t u
чесноті	tsh e s n o tj i
чесністю	tsh e sj nj i sj tj u
чести	tsh e s t y
честь	tsh e sj tj
честю	tsh e sj tj u
честі	tsh e sj tj i
четверо	tsh e t w e r o
четверта	tsh e t w e r t a
четверте	tsh e t w e r t e
четвертий	tsh e t w e r t y j
четвертина	tsh e t w e r t y n a
четвертих	tsh e t w e r t y x
четвертого	tsh e t w e r t o h o
четвертому	tsh e t w e r t o m u
четверту	tsh e t w e r t u
четвертій	tsh e t w e r tj i j
чи	tsh y
чигав	tsh y h a w
чигаю	tsh y h a j u
чигають	tsh y h a j u tj
чигає	tsh y h a j e
чигаєш	tsh y h a j e sh
чий	tsh y j
чийого	tsh y j o h o
чийсь	tsh y j sj
чим	tsh y m
чимала	tsh y m a l a
чимале	tsh y m a l e
чималий	tsh y m a l y j
чимало	tsh y m a l o
чин	tsh y n
чинам	tsh y n a m
чинами	tsh y n a m y
чинах	tsh y n a x
чинення	tsh y n e nj nj a
