a	al
verendeten	f e r e n d etu t etu n
verendetes	f e r e n d e t etu s
vererben	f e r e r b etu n
vererbt	f e r e r p t
verfahren	f atu f al r etu n
verfahrt	f e r f al r t
verfalle	f e r f a l etu
verfallen	f e r f a l etu n
verfallene	f e r f a l etu n etu
verfallet	f e r f a l el
verfaulen	f atu f a u l etu n
verfault	f atu f a u l t
verfehlen	f e r f el l etu n
verfehlt	f e r f el l t
verfehlung	f e r f el l u ng
verfielen	f e r f il l etu n
verfinstern	f e r f i n S t e r n
verfinstert	f e r f i n s t atu t
verfinsterung	f e r f i n s t etu r u ng
verfliegen	f e r f l il g etu n
verfluche	f e r f l ul x etu
verfluchen	f e r f l u x etu n
verfluchst	f e r f l u x s t
verflucht	f e r f l u x t
verfluchte	f e r f l u x t etu
verfluchten	f e r f l u x t etu n
verfluchter	f e r f l u x t atu
verfolge	f e r f o l g etu
verfolgen	f e r f o l g etu n
verfolger	f e r f o l g atu
verfolgern	f e r f o l g etu r n
verfolgst	f e r f o l k s t
verfolgt	f e r f o l k t
verfolgte	f e r f o l k t etu
verfolgten	f e r f o l k t etu n
verfolgung	f e r f o l g u ng
verfolgungen	f e r f o l g u ng etu n
verfuhr	f e r f ul r
verfährst	f e r f ae r s t
verfällst	f e r f e l s t
verfällt	f e r f e l t
verfälscht	f e r f e l S t
verführe	f e r f uel r etu
verführen	f e r f uel r etu n
verführer	f e r f uel r etu r
verführerisch	f atu f uel r atu r i S
verführerischen	f atu f uel r atu r i S etu n
verführt	f e r f uel r t
verführte	f e r f uel r t etu
verführten	f e r f uel r t etu n
verführung	f atu f uel r u ng
vergab	f e r g al p
vergabst	f e r g al p s t
vergalt	f atu g a l t
vergangen	f atu g a ng etu n
vergangene	f atu g a ng etu n etu
vergangenen	f atu g a ng etu n etu n
vergangener	f atu g a ng etu n atu
vergass	f e r g al s s
vergassen	f atu g a s etu n
vergebe	f e r g el b etu
vergeben	f e r g el b etu n
vergebens	f e r g el b e n s
vergebet	f e r g el b e t
vergeblich	f e r g el p l i C
vergebliche	f e r g el p l i C etu
vergebt	f e r g el p t
vergebung	f e r g el b u ng
vergehe	f e r g el etu
vergehen	f e r g el etu n
vergehst	f atu g el s t
vergeht	f atu g el t
vergelte	f atu g e l t etu
vergelten	f atu g e l t etu n
vergeltender	f atu g e l t etu n d etu r
vergelter	f atu g e l t atu
vergeltet	f atu g e l t etu t
vergeltung	f atu g e l t u ng
vergesse	f atu g e s etu
vergessen	f atu g e s etu n
vergessene	f atu g e s etu n etu
vergesset	f atu g e s etu t
vergesslicher	f atu g e s l i C atu
vergesst	f atu g e s
vergeude	f e r g eU d etu
vergeudet	f e r g eU d etu t
vergeudung	f e r g eU d u ng
vergewaltigten	f e r g etu v e l t i x t etu n
vergib	f atu g i p
vergibst	f e r g il p s t
vergibt	f e r g il p t
vergiesse	f atu g i e s etu
vergiessen	f atu g i e s etu n
vergiesst	f atu g i etu s s t
vergilt	f e r g i l t
vergiltst	f e r g i l ts t
verging	f e r g i ng
vergingen	f e r g i ng etu n
vergiss	f atu g i s
vergisst	f atu g i s
vergleichbar	f e r g l aI C b al r
vergleiche	f e r g l aI C etu
vergleichen	f e r g l aI C etu n
vergleicht	f e r g l aI C t
vergoldet	f e r g o l d etu t
vergolten	f e r g o l t etu n
vergoss	f e r g o s
vergossen	f e r g o s etu n
vergossene	f e r g o s etu n etu
vergossenes	f e r g o s etu n etu s
vergrabe	f e r g r al b etu
vergreif	f e r g r a i f
vergreife	f e r g r a i f etu
vergreifen	f e r g r a i f etu n
vergreift	f e r g r a i f t
vergriff	f e r g r i f
vergriffe	f e r g r i f etu
vergriffen	f e r g r i f etu n
vergrub	f atu g r u b
vergrüben	f e r g r uel b etu n
vergänglich	f e r g e ng l i C
vergängliche	f e r g e ng l i C etu
vergänglichem	f e r g e ng l i C etu m
vergänglichen	f e r g e ng l i C etu n
vergänglichkeit	f e r g e ng l i x k a i t
vergässe	f e r g e s etu
verhallt	f e r h a l t
verhalten	f e r h a l t etu n
verhandelt	f e r h a n d etu l t
verhandelte	f e r h a n d etu l t etu
verhandelten	f e r h a n d etu l t etu n
verhandlungen	f atu h a n d l u ng etu n
verharrt	f e r h a r t
verhasst	f atu h a s s t
verhassten	f e r h a s t etu n
verheeren	f e r h el r etu n
verheert	f e r h el r t
verheerten	f e r h el r t etu n
verheertes	f e r h el r t etu s
verheerung	f e r h el r u ng
verhehle	f e r h el l etu
verhehlen	f e r h el l etu n
verheimlichen	f e r h a i m l i x etu n
verheimlicht	f e r h a i m l i C t
verheiratet	f e r h a i r al t etu t
verheirateten	f e r h a i r al t etu t etu n
verheissen	f e r h a i s etu n
verheissene	f e r h a i s e n etu
verheissenen	f e r h a i s e n etu n
verheisst	f e r h a i s S t
verheissung	f e r h a i s u ng
verheissungen	f e r h a i s u ng etu n
verhelfen	f e r h e l f etu n
verherrliche	f e r h e r l i x etu
verherrlichen	f e r h e r l i C etu n
verherrlicht	f e r h e r l i C t
verherrlichung	f e r h e r l i C u ng
verhielt	f e r h il l t
verhielte	f e r h il l t etu
verhielten	f e r h il l t etu n
verhiess	f e r h il s
verhiessen	f e r h il s etu n
verhindern	f e r h i n d etu r n
verhindert	f e r h i n d etu r t
verhohlen	f e r h ol l etu n
verhält	f e r h e l t
verhängst	f e r h e ng s t
verhängt	f e r h e ng t
verhärten	f e r h e r t etu n
verhärtet	f e r h e r t etu t
verhärtete	f e r h e r t etu t etu
verhärtetes	f e r h e r t etu t etu s
verhöhnen	f e r h oel n etu n
verhöhnt	f e r h oel n t
verhöhnten	f e r h oel n t etu n
verhör	f e r h oel r
verhören	f e r h oel r etu n
verhörst	f e r h oel r s t
verhört	f e r h oel r t
verhüllen	f e r h ue l etu n
verhüllt	f e r h ue l t
verhüllte	f e r h ue l t etu
verhülltem	f e r h ue l t etu m
verhüllten	f e r h ue l t etu n
verhüten	f e r h uel t etu n
verirrt	f e atu i atu t
verirrte	f e atu i atu t etu
verirrung	f e r i r u ng
verjage	f e r j al k etu
verjagen	f e r j al k etu n
verjagt	f e r j al k t
verjagte	f e r j al k t etu
verjagten	f e r j al k t etu n
verkauf	f atu k aU f
verkaufe	f e r k a u f etu
verkaufen	f e r k a u f etu n
verkaufst	f atu k aU f s t
verkauft	f e r k a u f t
verkaufte	f e r k a u f t etu
verkauften	f e r k a u f t etu n
verkehre	f atu k el r etu
verkehren	f e r k el r etu n
verkehrt	f atu k el r t
verkehrte	f e r k el r t etu
verkehrtem	f e r k el r t etu m
verkehrten	f e r k el r t etu n
verkehrtes	f e r k el r t etu s
verklagen	f e r k l al g etu n
verklagt	f e r k l al k t
verklagte	f e r k l al k t etu
verklagten	f e r k l al k t etu n
verklebte	f e r k l el p t etu
verkleide	f e r k l a i d etu
verkleiden	f e r k l a i d etu n
verkleidete	f e r k l a i d etu t etu
verkläger	f e r k l ae g etu r
verklären	f e r k l ae r etu n
verklärt	f e r k l ae r t
verklärten	f e r k l ae r t etu n
verkommen	f atu k o m etu n
verkriechen	f atu k r il C etu n
verkriecht	f atu k r il C t
verkroch	f atu k r o x
verkrochen	f atu k r o x etu n
verkrümmt	f atu k r ue m t
verkäufer	f e r k eU f etu r
verkümmert	f e r k ue m etu r t
verkünde	f e r k ue n d etu
verkünden	f e r k ue n d etu n
verkündet	f e r k ue n d etu t
verkündete	f e r k ue n d etu t etu
verkündeten	f e r k ue n d etu t etu n
verkündige	f e r k ue n d i g etu
verkündigen	f e r k ue n d i g etu n
verkündigest	f e r k ue n d i g etu s t
verkündiget	f e r k ue n d i g etu t
verkündigst	f e r k ue n d i k s t
verkündigt	f e r k ue n d i x t
verkündigte	f e r k ue n d i x t etu
verkündigten	f e r k ue n d i x t etu n
verkündigung	f e r k ue n d i g u ng
verkürzt	f e r k ue atu ts t
verlachen	f e atu l a x etu n
verlacht	f e atu l a x t
verlachten	f e atu l a x t etu n
verlangen	f e r l a ng etu n
verlangend	f e r l a ng etu n t
verlangt	f e r l a ng t
verlass	f atu l a s
verlasse	f e r l a s etu
verlassen	f e r l a s etu n
verlassene	f e r l a s etu n etu
verlassenen	f e r l a s etu n etu n
verlassenes	f e r l a s etu n etu s
verlasset	f atu l a s e t
verlasst	f atu l a s
verlaufen	f e r l a u f etu n
verlaufene	f e r l a u f etu n etu
verlegt	f e r l el k t
verleiher	f e r l a i etu r
verleihst	f e r l a i s t
verleitest	f atu l aI t etu s t
verleitet	f e r l a i t etu t
verleitete	f e r l a i t etu t etu
verleiteten	f e r l a i t etu t etu n
verlesen	f atu l el z etu n
verletzet	f e r l e ts etu t
verletzt	f e r l e ts t
verletzung	f e r l e ts u ng
verleugne	f e r l eU g n etu
verleugnen	f e r l eU g n etu n
verleugner	f e r l eU g n etu r
verleugnet	f e r l eU g n etu t
verleugneten	f e r l eU g n etu t etu n
verleugnetet	f e r l eU g n etu t etu t
verleumde	f e r l eU m d etu
verleumden	f e r l eU m d etu n
verleumder	f e r l eU m d etu r
verleumderisch	f e r l eU m d etu r i S
verleumders	f e r l eU m d etu r s
verleumdet	f e r l eU m d etu t
verleumdeten	f e r l eU m d etu t etu n
verlief	f e r l il f
verliehen	f e r l il etu n
verliere	f e r l il r etu
verlieren	f e r l il r etu n
verlieret	f e r l il r etu t
verliert	f e r l il r t
verliess	f e r l il s
verliessen	f e r l il s z etu n
verliessest	f e r l il s z etu s t
verlischt	f e r l i S t
verloben	f e r l ol b etu n
verlobt	f e r l ol p t
verlobte	f e r l ol p t etu
verlobtes	f e r l ol p t etu s
verlockt	f e r l o k t
verlogen	f e r l ol g etu n
verlogene	f e r l ol g etu n etu
verlor	f e r l ol r
verloren	f e r l ol r etu n
verlorene	f e r l ol r etu n etu
verlorenen	f e r l ol r etu n etu n
verlorenes	f e r l ol r etu n etu s
verlorne	f e r l ol r n etu
verloschen	f e r l ol s C etu n
verlähmt	f atu l ae m t
verlängere	f e r l e ng etu r etu
verlässest	f atu l e s etu s t
verlässliche	f atu l e s l i x etu
verlässlichen	f atu l e s l i x etu n
verlässt	f atu l e s
verlästern	f atu l e s t etu r n
verlästert	f atu l e s t etu r t
verläuft	f e r l eU f t
verlöre	f e r l oel r etu
verlöschen	f e atu l oe S etu n
verlöscht	f e atu l oe S t
vermag	f e r m al k
vermagst	f e r m al k s t
vermahne	f e r m al n etu
vermahnen	f e r m al n etu n
vermahnet	f e r m al n etu t
vermahnt	f e r m al n t
vermahnte	f e r m al n t etu
vermahnten	f e r m al n t etu n
vermahntest	f e r m al n t etu s t
vermahnung	f e r m al n u ng
vermahnungen	f e r m al n u ng etu n
vermassen	f atu m a s etu n
vermauern	f atu m aU atu n
vermauert	f atu m aU atu t
vermehren	f e r m el r etu n
vermehrt	f e r m el r t
vermengt	f atu m e ng t
vermengte	f atu m e ng t etu
vermessen	f e r m e s etu n
vermessenheit	f e r m e s etu n h a i t
vermindern	f e r m i n d etu r n
vermischen	f e r m i S etu n
vermischt	f e r m i S t
vermischten	f e r m i S t etu n
vermisse	f e r m i s etu
vermissen	f e r m i s etu n
vermisst	f e r m i s
vermocht	f e r m o x t
vermochte	f e r m o x t etu
vermochten	f e r m o x t etu n
vermochtest	f e r m o x t etu s t
vermögen	f e r m oel g etu n
vermöget	f atu m oe g etu t
vernachlässigt	f e r n al x l e s i C t
vernahm	f e r n al m
vernahmen	f e r n al m etu n
vernehmen	f e r n el m etu n
vernehmet	f e r n el m etu t
verneigt	f e r n a i k t
vernichte	f e r n i C t etu
vernichten	f e r n i C t etu n
vernichtendem	f atu n i C t e n d etu m
vernichtest	f e r n i C t etu s t
vernichtet	f e r n i C t etu t
vernichtete	f e r n i C t etu t etu
vernichteten	f e r n i C t etu t etu n
vernimm	f e r n i m
vernimmt	f e r n i m t
vernommen	f e r n o m etu n
vernunft	f e r n u n f t
vernünftig	f e r n ue n f t i C
vernünftige	f e r n ue n f t i g etu
vernünftigen	f e r n ue n f t i g etu n
vernünftiger	f e r n ue n f t i g etu r
vernünftiges	f e r n ue n f t i g etu s
verordne	f e r o r d n etu
verordnet	f e r o r d n etu t
verordnete	f e r o r d n etu t etu
verordneten	f e r o r d n etu t etu n
verpflegung	f atu p f l el g u ng
verpflichten	f e r p f l i C t etu n
verpflichtet	f e r p f l i C t etu t
verpflichteten	f e r p f l i C t etu t etu n
verpflichtung	f e r p f l i C t u ng
verpflichtungen	f e r p f l i C t u ng etu n
verpfänden	f e r p f e n d etu n
verpiche	f e atu p i C etu
verprasst	f e r p r e s s t
verrat	f e r r al t
verrate	f e r r al t etu
verraten	f e r r al t etu n
verrenkt	f e r r e ng k t
verrichten	f e atu r i C t etu n
verrichtet	f e r r i x t etu t
verrichtete	f e r r i C t etu t etu
verrichteten	f e r r i C t etu t etu n
verrichtungen	f e atu r i C t u ng etu n
verriegeln	f e r r il g etu l n
verriet	f e r r il t
verriete	f e r r il t etu
verringern	f e r r i ng etu r n
verringert	f e r r i ng etu r t
verrinnen	f e r r i n etu n
verrinnt	f e r r i n t
verrostet	f e r r ol s t etu t
verruf	f e r r ul f
verrät	f e r r ae t
verräter	f e r r ae t etu r
verräterei	f e r r ae t etu r a i
verräters	f e r r ae t etu r s
verrätst	f e r r ae ts t
verrücke	f e r r ue k etu
verrücken	f e r r ue k etu n
verrückt	f e r r ue k t
versagen	f e r z al g etu n
versagt	f e r z al k t
versagtest	f e r z al k t etu s t
versah	f e r z al
versahen	f e r z al etu n
versahst	f e r z al s t
versammeln	f e r z a m etu l n
versammelst	f e r z a m etu l s t
versammelt	f e r z a m etu l t
versammelte	f e r z a m etu l t etu
versammelten	f e r z a m etu l t etu n
versammle	f e r z a m l etu
versammlung	f e r z a m l u ng
versammlungen	f e r z a m l u ng etu n
versanken	f e r z a ng k etu n
verschachern	f e r S a x etu r n
verschaffe	f e r S a f etu
verschaffen	f e r S a f etu n
verschafft	f e r S a f t
verschaffte	f e r S a f t etu
verscharre	f e r S a r etu
verscharrt	f e r S a r t
verscharrte	f e r S a r t etu
verscheiden	f e r S a i d etu n
verscheuchen	f atu S eU C etu n
verscheucht	f atu S eU C t
verscheuchtes	f atu S eU C t etu s
verschied	f atu S il t
verschiedenen	f e r S il d etu n etu n
verschlagener	f e r S l al g etu n etu r
verschlang	f e r S l a ng
verschlangen	f e r S l a ng etu n
verschliesse	f e r S l i e s etu
verschliessen	f e r S l i e s etu n
verschling	f e r S l i ng
verschlinge	f e r S l i ng etu
verschlingen	f e r S l i ng etu n
verschlingt	f e r S l i ng t
verschloss	f e r S l o s
verschlossen	f e r S l o s etu n
verschlossene	f e r S l o s etu n etu
verschlossener	f e r S l o s etu n etu r
verschlossner	f e r S l o s n atu
verschluckt	f e r S l u k t
verschlungen	f e r S l u ng etu n
verschmachte	f e r S m a x t etu
verschmachten	f e r S m a x t etu n
verschmachtenden	f e r S m a x t e n t etu n
verschmachtet	f e r S m a x t etu t
verschmachtete	f e r S m a x t etu t etu
verschmachteten	f e r S m a x t etu t etu n
verschmähen	f e r S m ae etu n
verschmäht	f e r S m ae t
verschmähte	f e r S m ae t etu
verschmähten	f e r S m ae t etu n
verschneiden	f e r S n aI d etu n
verschnitten	f e r S n i t etu n
verschnittene	f e r S n i t etu n etu
verschnittenen	f e r S n i t e n etu n
verschnittener	f e r S n i t etu n etu r
verschone	f e r S ol n etu
verschonen	f e r S ol n etu n
verschonet	f e r S ol n etu t
verschont	f e r S ol n t
verschonte	f e r S ol n t etu
verschonten	f e r S ol n t etu n
verschrobenen	f e r S r ol b etu n etu n
verschrumpft	f e r S r u m p f t
verschulden	f e r S u l d etu n
verschuldet	f e r S u l d etu t
verschuldung	f atu S u l d u ng
verschuldungen	f atu S u l d u ng etu n
verschwand	f e r S v a n t
verschweige	f e r S v a i g etu
verschweigen	f e r S v a i g etu n
verschweigst	f e r S v a i k s t
verschwieg	f e r S v il k
verschwiegen	f e r S v il g etu n
verschwinden	f e r S v i n d etu n
verschwindet	f e r S v i n d etu t
verschworen	f e r S v ol r etu n
verschwägern	f e r S v ae g etu r n
verschwägert	f e r S v ae g etu r t
verschwägerte	f e r S v ae g etu r t etu
verschwört	f e r S v oel r t
verschwörung	f e r S v oel r u ng
verschüttet	f e r S ue t etu t
verschüttete	f e r S ue t etu t etu
verse	v e r z etu
versehe	f atu z el etu
versehen	f atu z el etu n
versehrt	f e r z el r t
verseht	f atu z el t
versengen	f atu s e ng etu n
versengt	f atu s e ng t
versengte	f atu s e ng t etu
versengten	f atu s e ng t etu n
versenke	f e r z e ng k etu
verses	f e atu z etu s
versetze	f atu z e ts etu
versetzen	f e r z e ts etu n
versetzt	f e r z e ts t
versetzte	f e r z e ts t etu
versickern	f e r z i k etu r n
versiege	f e r z il g etu
versiegeln	f e r z il g etu l n
versiegelt	f e r z il g etu l t
versiegelte	f e r z il g etu l t etu
versiegelten	f e r z il g etu l t etu n
versiegelter	f e r z il g etu l t etu r
versiegen	f e r z il g etu n
versiegende	f e r z il g etu n d etu
versiegender	f e r z il g etu n d atu
versiegle	f e r z il g l etu
versiegler	f e r z il g l etu r
versiegt	f e r z il k t
versiegte	f e r z il k t etu
versiehst	f e r z il s t
versieht	f e r z il t
versinke	f e r z i ng k etu
versinken	f e r z i ng k etu n
versorge	f e r z o r g etu
versorgen	f e r z o r g etu n
versorgt	f atu s o r g t
versorgte	f e r z o r k t etu
versorgten	f e r z o r k t etu n
versorgtest	f atu s o r g t etu s t
versorgung	f e r z o r g u ng
verspeien	f e r S p a i etu n
verspeit	f e r S p a i t
versperren	f e r S p e r etu n
versperrt	f e r S p e r t
verspotten	f e r S p o t etu n
verspottet	f e r S p o t etu t
verspottete	f e r S p o t etu t etu
verspotteten	f e r S p o t etu t etu n
verspottung	f e r S p o t u ng
versprachen	f e r S p r al x etu n
versprechen	f e r S p r e C etu n
versprechens	f e r S p r e C etu n s
versprengen	f atu S p r e ng etu n
versprengt	f atu S p r e ng t
versprengte	f atu S p r e ng t etu
versprengten	f atu S p r e ng t etu n
verspricht	f e r S p r i C t
versprochen	f atu S p r o x etu n
verstand	f e r S t a n t
verstanden	f atu S t a n d etu n
verstandes	f atu S t a n d etu s
versteck	f e r S t e k
verstecke	f e r S t e k etu
verstecken	f e r S t e k etu n
versteckt	f e r S t e k t
versteckte	f e r S t e k t etu
versteckten	f e r S t e k t etu n
versteckter	f e r S t e k t atu
verstehe	f atu S t el etu
verstehen	f atu S t el etu n
verstehet	f atu S t el etu t
verstehst	f atu S t el s t
versteht	f e r S t el t
versteiften	f e r S t a i f t etu n
verstellen	f e r S t e l etu n
verstellt	f e r S t e l t
verstellte	f e r S t e l t etu
verstiess	f e r S t il s
verstocke	f e atu S t o k etu
verstocken	f e atu S t o k etu n
verstocket	f e atu S t o k etu t
verstockt	f e atu S t o k t
verstockte	f e atu S t o k t etu
verstockten	f e atu S t o k t etu n
verstocktes	f e atu S t o k t etu s
verstockung	f e atu S t o k u ng
verstopfen	f e r S t o p f etu n
verstopft	f e r S t o p f t
verstopften	f e r S t o p f t etu n
verstorbene	f e r S t o r b etu n etu
verstorbenen	f e r S t o r b etu n etu n
verstosse	f e r S t o s etu
verstossen	f e r S t o s etu n
verstossene	f e r S t o s etu n etu
verstossenen	f e r S t o s e n etu n
verstossener	f e r S t o s etu n etu r
verstreuen	f e r S t r eU etu n
verstreut	f e r S t r eU t
verstrickst	f e r S t r i k s t
verstrickt	f e r S t r i k t
verstumme	f e r S t u m etu
verstummen	f e r S t u m etu n
verstummt	f e r S t u m t
verstummte	f e r S t u m t etu
verständig	f e r S t e n d i x
verständige	f e r S t e n d i g etu
verständigen	f e r S t e n d i g etu n
verständiger	f e r S t e n d i g etu r
verständiges	f e r S t e n d i g etu s
verständlich	f e r S t e n t l i C
verständlichem	f e r S t e n t l i C etu m
verständnis	f e r S t e n t n i s
verständnisses	f e r S t e n t n i s etu s
verstärke	f e r S t e r k etu
verstört	f e r S t oel r t
verstösst	f e r S t oel s s t
verstünde	f e r S t ue n d etu
verstünden	f e r S t ue n d etu n
versuch	f e r z ul x
versuche	f e r z ul x etu
versuchen	f e r z ul x etu n
versucher	f atu z ul x etu r
versuchet	f atu z ul x etu t
versucht	f e r z ul x t
versuchte	f e r z ul x t etu
versuchten	f e r z ul x t etu n
versuchung	f atu z ul x u ng
versäuert	f e r z eU atu t
versäume	f e r z eU m etu
versäumen	f e r z eU m etu n
versäumt	f e r z eU m t
versöhne	f e r z oel n etu
versöhnen	f e r z oel n etu n
versöhnt	f e r z oel n t
versöhnte	f e r z oel n t etu
versöhnung	f e r z oel n u ng
versöhnungstag	f e r z oel n u ng s t al k
versündige	f atu z ue n d i g etu
